Algorithm,Arm,Mean_Reward,Count
UCB1 (c=1),0,5.2142857142857135,14
UCB1 (c=1),1,4.2,5
UCB1 (c=1),2,3.0,2
UCB1 (c=1),3,0.0,1
UCB1 (c=1),4,3.0,2
UCB1 (c=1),5,5.5625,32
UCB1 (c=1),6,1.0,1
UCB1 (c=1),7,6.110638297872333,940
UCB1 (c=1),8,0.0,1
UCB1 (c=1),9,2.5,2
UCB2,0,3.0,1
UCB2,1,4.0,1
UCB2,2,3.0,1
UCB2,3,2.0,1
UCB2,4,4.0,1
UCB2,5,4.0,1
UCB2,6,1.0,1
UCB2,7,6.121089808274473,991
UCB2,8,0.0,1
UCB2,9,3.0,1
